period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,generation,generation-units
2024,10181,Metropolitan Sewerage District,ALL,Total,NC,North Carolina,ALL,6140,megawatthours
2024,10181,Metropolitan Sewerage District,WAT,Hydroelectric Conventional,NC,North Carolina,ALL,6140,megawatthours
2024,10181,Metropolitan Sewerage District,WAT,Hydroelectric Conventional,NC,North Carolina,HY,6140,megawatthours
2024,60380,"Shoe Creek Solar, LLC",ALL,Total,NC,North Carolina,ALL,126918,megawatthours
2024,60380,"Shoe Creek Solar, LLC",SUN,Solar,NC,North Carolina,ALL,126918,megawatthours
2024,54801,Avalon Hydropower,ALL,Total,NC,North Carolina,ALL,4060,megawatthours
2024,54801,Avalon Hydropower,WAT,Hydroelectric Conventional,NC,North Carolina,ALL,4060,megawatthours
2024,54801,Avalon Hydropower,WAT,Hydroelectric Conventional,NC,North Carolina,HY,4060,megawatthours
2024,59325,Kings Mountain Energy Center,ALL,Total,NC,North Carolina,ALL,3322502,megawatthours
2024,59325,Kings Mountain Energy Center,NG,Natural Gas,NC,North Carolina,ALL,3322502,megawatthours
2024,59325,Kings Mountain Energy Center,NG,Natural Gas,NC,North Carolina,CA,1362496,megawatthours
2024,59325,Kings Mountain Energy Center,NG,Natural Gas,NC,North Carolina,CT,1960006,megawatthours
2024,7277,Lincoln Combustion,ALL,Total,NC,North Carolina,ALL,3843,megawatthours
2024,7277,Lincoln Combustion,DFO,Distillate Fuel Oil,NC,North Carolina,ALL,951.42,megawatthours
2024,7277,Lincoln Combustion,NG,Natural Gas,NC,North Carolina,ALL,2891.58,megawatthours
2024,7277,Lincoln Combustion,DFO,Distillate Fuel Oil,NC,North Carolina,GT,951.42,megawatthours
2024,7277,Lincoln Combustion,NG,Natural Gas,NC,North Carolina,GT,2891.58,megawatthours
2024,60611,Summit Farms Solar,ALL,Total,NC,North Carolina,ALL,78220,megawatthours
2024,60611,Summit Farms Solar,SUN,Solar,NC,North Carolina,ALL,78220,megawatthours
2024,60611,Summit Farms Solar,SUN,Solar,NC,North Carolina,PV,78220,megawatthours
2024,60623,Brantley Solar,ALL,Total,NC,North Carolina,ALL,100235,megawatthours
2024,60623,Brantley Solar,SUN,Solar,NC,North Carolina,ALL,100235,megawatthours
2024,60623,Brantley Solar,SUN,Solar,NC,North Carolina,PV,100235,megawatthours
2024,60624,Fox Creek Solar,ALL,Total,NC,North Carolina,ALL,81738,megawatthours
2024,60624,Fox Creek Solar,SUN,Solar,NC,North Carolina,ALL,81738,megawatthours
2024,60624,Fox Creek Solar,SUN,Solar,NC,North Carolina,PV,81738,megawatthours
2024,62544,Wilkinson Solar LLC,ALL,Total,NC,North Carolina,ALL,141512,megawatthours
2024,62544,Wilkinson Solar LLC,SUN,Solar,NC,North Carolina,ALL,141512,megawatthours
2024,62544,Wilkinson Solar LLC,SUN,Solar,NC,North Carolina,PV,141512,megawatthours
2024,62668,Maiden Creek Solar Power Plant,ALL,Total,NC,North Carolina,ALL,128796,megawatthours
2024,62668,Maiden Creek Solar Power Plant,SUN,Solar,NC,North Carolina,ALL,128796,megawatthours
2024,62668,Maiden Creek Solar Power Plant,SUN,Solar,NC,North Carolina,PV,128796,megawatthours
2024,62669,Gaston Solar Power Plant,ALL,Total,NC,North Carolina,ALL,45289,megawatthours
2024,62669,Gaston Solar Power Plant,SUN,Solar,NC,North Carolina,ALL,45289,megawatthours
2024,62669,Gaston Solar Power Plant,SUN,Solar,NC,North Carolina,PV,45289,megawatthours
2024,62678,Crooked Run,ALL,Total,NC,North Carolina,ALL,139727,megawatthours
2024,62678,Crooked Run,SUN,Solar,NC,North Carolina,ALL,139727,megawatthours
2024,62678,Crooked Run,SUN,Solar,NC,North Carolina,PV,139727,megawatthours
2024,57896,Concord Energy,ALL,Total,NC,North Carolina,ALL,63857,megawatthours
2024,57896,Concord Energy,DFO,Distillate Fuel Oil,NC,North Carolina,ALL,0,megawatthours
2024,57896,Concord Energy,LFG,Municiapl Landfill Gas,NC,North Carolina,ALL,63857,megawatthours
2024,57896,Concord Energy,DFO,Distillate Fuel Oil,NC,North Carolina,GT,0,megawatthours
2024,57896,Concord Energy,LFG,Municiapl Landfill Gas,NC,North Carolina,GT,63857,megawatthours
2024,50188,International Paper Co. - New Bern Mill,ALL,Total,NC,North Carolina,ALL,190133.15,megawatthours
2024,50188,International Paper Co. - New Bern Mill,BLQ,Wood Waste Solids,NC,North Carolina,ALL,159694.32,megawatthours
2024,50188,International Paper Co. - New Bern Mill,DFO,Distillate Fuel Oil,NC,North Carolina,ALL,0,megawatthours
2024,50188,International Paper Co. - New Bern Mill,NG,Natural Gas,NC,North Carolina,ALL,30438.83,megawatthours
2024,50188,International Paper Co. - New Bern Mill,OBG,other renewables,NC,North Carolina,ALL,0,megawatthours
2024,50188,International Paper Co. - New Bern Mill,RFO,Residual Fuel Oil,NC,North Carolina,ALL,0,megawatthours
2024,50188,International Paper Co. - New Bern Mill,BLQ,Wood Waste Solids,NC,North Carolina,ST,159694.32,megawatthours
2024,50188,International Paper Co. - New Bern Mill,DFO,Distillate Fuel Oil,NC,North Carolina,ST,0,megawatthours
2024,50188,International Paper Co. - New Bern Mill,NG,Natural Gas,NC,North Carolina,ST,30438.83,megawatthours
2024,50188,International Paper Co. - New Bern Mill,OBG,other renewables,NC,North Carolina,ST,0,megawatthours
2024,50188,International Paper Co. - New Bern Mill,RFO,Residual Fuel Oil,NC,North Carolina,ST,0,megawatthours
2024,58215,Lee Combined Cycle Plant,ALL,Total,NC,North Carolina,ALL,6549447,megawatthours
2024,58215,Lee Combined Cycle Plant,DFO,Distillate Fuel Oil,NC,North Carolina,ALL,102.09,megawatthours
2024,58215,Lee Combined Cycle Plant,NG,Natural Gas,NC,North Carolina,ALL,6549344.91,megawatthours
2024,58215,Lee Combined Cycle Plant,DFO,Distillate Fuel Oil,NC,North Carolina,CA,35.28,megawatthours
2024,58215,Lee Combined Cycle Plant,NG,Natural Gas,NC,North Carolina,CA,2684009.72,megawatthours
2024,58215,Lee Combined Cycle Plant,DFO,Distillate Fuel Oil,NC,North Carolina,CT,66.81,megawatthours
2024,58215,Lee Combined Cycle Plant,NG,Natural Gas,NC,North Carolina,CT,3865335.19,megawatthours
2024,63842,"Trent River Solar, LLC",ALL,Total,NC,North Carolina,ALL,142402,megawatthours
2024,63842,"Trent River Solar, LLC",SUN,Solar,NC,North Carolina,ALL,142402,megawatthours
2024,63842,"Trent River Solar, LLC",SUN,Solar,NC,North Carolina,PV,142402,megawatthours
2024,63976,Bay Tree,ALL,Total,NC,North Carolina,ALL,144950,megawatthours
2024,63976,Bay Tree,SUN,Solar,NC,North Carolina,ALL,144950,megawatthours
2024,63976,Bay Tree,SUN,Solar,NC,North Carolina,PV,144950,megawatthours
2024,63807,"Sugar Solar, LLC",ALL,Total,NC,North Carolina,ALL,104783,megawatthours
2024,63807,"Sugar Solar, LLC",SUN,Solar,NC,North Carolina,ALL,104783,megawatthours
2024,63807,"Sugar Solar, LLC",SUN,Solar,NC,North Carolina,PV,104783,megawatthours
2024,63811,"Lick Creek Solar, LLC",ALL,Total,NC,North Carolina,ALL,108649,megawatthours
2024,63811,"Lick Creek Solar, LLC",SUN,Solar,NC,North Carolina,ALL,108649,megawatthours
2024,63811,"Lick Creek Solar, LLC",SUN,Solar,NC,North Carolina,PV,108649,megawatthours
2024,63812,"Highest Power Solar, LLC",ALL,Total,NC,North Carolina,ALL,102014,megawatthours
2024,63812,"Highest Power Solar, LLC",SUN,Solar,NC,North Carolina,ALL,102014,megawatthours
2024,63812,"Highest Power Solar, LLC",SUN,Solar,NC,North Carolina,PV,102014,megawatthours
